agent,query,difficulty,solution,cite,necessary_tools,unnecessary_tools,possible,current_plan,messages
planner_agent,¿Existe alguna issue para las funcionalidades marcadas en la documentación por implementar?,,"""finished: false"", ""El plan contiene un step relacionado con obtener las issues del proyecto"", ""El plan listado (steps) contiene un solo elemento""",,,,TRUE,"""Para determinar si las funcionalidades por implementar están listadas en alguna issue primero se deben obtener la documentación correspondiente a dichas funcionalidades y para ver si las issues contienen información sobre dichas funcionalidades"", ""Primero se debe buscar información en la documentación sobre las funcionalidades por implementar"", ""Después se deben buscar las issues del proyecto""","""Funcionalidades No Implementadas

Crawlers: Mencionados en el menú pero aún no implementados
API Keys: Aparecen en el menú pero no están completamente implementados
Settings: Página marcada como DELETE ME (en desarrollo)

Mejoras Potenciales

Validación de Formularios: Implementar validación client-side más robusta
Feedback Visual: Mejorar los mensajes de éxito/error tras acciones
UX del Playground: Mejorar visualización e interacción con la conversación

Elementos para Revisión

Menú de Repositorio: Contiene elemento marcado como TASK: delete
Consistencia de Confirmaciones: Algunas acciones de eliminación tienen confirmación y otras no
Implementación Completa: Finalizar elementos marcados como pendientes"""
planner_agent,¿Existe alguna issue para las funcionalidades marcadas en la documentación por implementar?,,"""finished: true"", ""Se ha obtenido suficiente información como para determinar si existen issues para las funcionalidades no implementadas""",,,,TRUE,"""Para determinar si las funcionalidades por implementar están listadas en alguna issue primero se deben obtener la documentación correspondiente a dichas funcionalidades y para ver si las issues contienen información sobre dichas funcionalidades"", ""Primero se debe buscar información en la documentación sobre las funcionalidades por implementar"", ""Después se deben buscar las issues del proyecto""","""Funcionalidades No Implementadas

Crawlers: Mencionados en el menú pero aún no implementados
API Keys: Aparecen en el menú pero no están completamente implementados
Settings: Página marcada como DELETE ME (en desarrollo)

Mejoras Potenciales

Validación de Formularios: Implementar validación client-side más robusta
Feedback Visual: Mejorar los mensajes de éxito/error tras acciones
UX del Playground: Mejorar visualización e interacción con la conversación

Elementos para Revisión

Menú de Repositorio: Contiene elemento marcado como TASK: delete
Consistencia de Confirmaciones: Algunas acciones de eliminación tienen confirmación y otras no
Implementación Completa: Finalizar elementos marcados como pendientes"",

""Aquí tienes issues sobre funcionalidades por implementar:
 Issue 123: Es necesario implementar validación de formularios client-side
responsable: Aritz Galdos"""
planner_agent,¿Cómo despliego el proyecto en AWS?,,,,,,FALSE,"""Para explicar cómo desplegar el proyecto en AWS primero debo buscar documentación sobre esto"", ""Buscar información sobre despliegue en AWS""","""No se ha obtenido información sobre AWS"", ""Los métodos de despliegue son Docker y modo desarrollador"""
main_agent,¿Qué IDE o editor es recomendado para este proyecto y qué configuraciones específicas requiere?,,,,,,FALSE,,
main_agent,¿Existen tareas marcadas como good first issues para nuevos contribuyentes? ¿Dónde puedo encontrarlas?,,,,,,FALSE,,
main_agent,¿Qué nivel de participación tiene el cliente en el proceso de desarrollo y toma de decisiones?,,,,,,FALSE,,
main_agent,¿Cuál es el objetivo principal y la finalidad del proyecto?,0,"""Es un software que proporciona utilidades para crear aplicaciones de IA"", ""Incluye utilidades RAG"", ""Su finalidad es Facilitar implementación de soluciones IA""",README.md,,,TRUE,,
main_agent,¿Cuáles son las funcionalidades principales que incluye el proyecto?,0,"""Gestión de agentes IA"", ""Configuración de repositorios de conocimiento y carga de documentos"",  ""Entorno de playground para probar agentes"", ""API para integración con otras aplicaciones""",informacion-cliente.md,,,TRUE,,
main_agent,¿Existe documentación formal del modelo de negocio o dominio? ¿Dónde se encuentra?,0,"""Existe un documento formal llamado 'modelo_negocio.md'"", ""Se encuentra en la documentación general del proyecto""",modelo-negocio.md,,,TRUE,,
main_agent,¿Cuál es la URL completa del repositorio de código y cómo puedo acceder a él?,1,"""La URL es https://gitlab.devops.lksnext.com/lks/genai/ia-core-tools"", ""Es necesario tener una cuenta de GitLab de LKS NEXT y tener acceso al repositorio"", ""Es necesario estar conectado a la red privada de LKS NEXT"" ","gitlab_repository, onboarding.md",,,TRUE,,
main_agent,¿Existen una guía o manual de despliegue con docker para el proyecto? ¿Puedes explicarme el funcionamiento de este despliegue?,2,"""Existe una guía en el archivo 'despliegue.md de la documentación del proyecto"", ""Se proporciona una explicación de cómo funciona el fichero para el despliegue docker""","despliegue.md, Dockerfile",,,TRUE,,
main_agent,¿Qué credenciales o permisos necesito para acceder a cada entorno (VPN usuarios certificados etc.)?,0,"""Es necesario tener una cuenta de GitLab de LKS NEXT"", ""La cuenta de GitLab debe tener acceso al repositorio"", ""Es necesario estar conectado a la red privada de LKS NEXT"" ",onboarding.md,,,TRUE,,
main_agent,¿Cuál es el proceso paso a paso para configurar mi entorno de desarrollo local?,0,"""Clonar el repositorio"", ""Crear el entorno virtual"", ""Instalar las dependencias"", ""Configurar variables de entorno"", ""Tener PostgreSQL en ejecución"", ""Instalar extensión pgvector"", ""Ejecutar migraciones de alembic""",despliegue.md,,,TRUE,,
main_agent,¿Cuáles son los canales oficiales de comunicación del equipo (chat email videollamadas) y para qué se usa cada una?,0,"""Chats de Gmail para comunicaciones rápidas"", ""Microsoft Teams para reuniones virtuales"", ""Email para comunicaciones formales"", ""Reuniones presenciales en la oficina de Zuatzu""",equipo-y-comunicacion.md,,,TRUE,,
main_agent,¿Quién es el líder del proyecto o responsable final de las decisiones? ¿Podrías proporcionar issues que este haya creado?,2,"""Aritz Galdos es el responsable"", ""Se incluye al menos un issue en la respuesta que Aritz ha creado""",equipo-y-comunicacion.md,,,TRUE,,
main_agent,¿Qué reuniones periódicas o ceremonias están establecidas en el proyecto y cuál es su propósito? ¿Cuáles son los objetivos y entregables esperados para estos?,0,"""Reuniones Semanales de Planificación"", ""Revisión de Código"", ""Sesiones de Resolución de Problemas"", ""reuniones diarias para compartir el estado del trabajo"", ""Se espera lista priorizada de tareas para la semana"", ""Se espera asignación de responsabilidades"", ""Se espera identificación de riesgos y dependencias""","metodologia.md, equipo-y-comunicacion.md",,,TRUE,,
main_agent,"¿Cuál es el proceso completo para contribuir código al proyecto, desde la asignación hasta la integración?",0,"""Seleccionar o crear un issue"", ""Crear una rama específica"", ""Implementar cambios"", ""Enviar Pull Request"", ""Pasar revisión de código""",guia-contribucion.md,,,TRUE,,
main_agent,¿Qué herramienta específica se utiliza para gestionar las tareas del proyecto (Jira Trello GitHub Projects etc.)? ¿podrías proporcionar algún ejemplo de tarea?,2,"""Se utilizan los issues de GitLab"", ""Se incluye algún ejemplo de issue de GitLab en la respuesta""",sistema-gestion-tareas.md,,,TRUE,,
main_agent,¿En qué sistema o plataforma se documentan y gestionan los requisitos del proyecto? ¿Podrías decirme cómo acceder a estos?,1,"""Documentación general del proyecto"", ""Confluence para requisitos del frontend""","README.md, confluence_documentation, oficial_documentation",,,TRUE,,
main_agent,¿Quién es el cliente final o usuario principal de esta aplicación y cuál es su contexto de uso?,0,"""LKS Next como cliente principal"", ""Equipos internos de LKS Next como usuarios primarios"", ""Uso para desarrollo de soluciones de IA para clientes finales como Orona""",informacion-cliente.md,,,TRUE,,
main_agent,¿Cuáles son los estándares definidos para la nomenclatura y gestión de branches commits y pull requests? ¿podrías proporcionar ejemplos?,1,"""Branches: tipo/descripcion-breve"", ""Commits: tipo: descripción breve"", ""Pull Requests referencian issues'"", ""Se incluye al menos un ejemplo de branch o commit o issue de gitlab""",sistema-gestion-tareas.md,,,TRUE,,
main_agent,¿Existe un flujo de trabajo definido para el desarrollo de las interfaces visuales?,1,"""Diseños en Figma"", ""Maquetas HTML compartidas en Google Drive por los diseñadores web"", ""Bootstrap como framework CSS base""",guia_estilos.md,,,TRUE,,
main_agent,¿Dónde puedo encontrar la documentación sobre el diseño visual y la experiencia de usuario a implementar?,1,"""Google Drive para maquetas HTML"", ""Confluence para documentación técnica del frontend""","flujos-trabajo.md, confluence_documentation, google_drive_documents",,,TRUE,,
main_agent,¿Qué licencias de software se aplican al código del proyecto? ¿Cuáles consideraciones legales deben tenerse en cuenta?,1,"""LKS Inner Source License"", ""Uso limitado a LKS Next"", ""Derechos de autor de los contribuidores"", ""Restricciones para uso fuera del grupo cooperativo""","LICENSE.md, README.md",,,TRUE,,
main_agent,¿Cuáles son las mejores prácticas de seguridad establecidas que debo aplicar en mi código para este proyecto? ¿Puedes proporcionar algún ejemplo en que se aplique en el código?,2,"""No incluir secretos en el código"", ""Usar variables de entorno"", ""Validar entradas del usuario"", ""Usar consultas parametrizadas"", ""Se incluye al menos un ejemplo de los principios mencionados""",estandares-codigo.md,,,TRUE,,
main_agent,¿Qué fuentes de documentación existen para el proyecto y dónde puedo encontrarlas (API / guías / licencias / estándares)?,1,"""Documentación oficial del proyecto"", ""Documentación frontend en Confluence"", ""Maquetas HTML en Google Drive""","oficial_documentation, confluence_documentation, google_drive_documents",,,TRUE,,
main_agent,¿Qué documentación específica debo consultar para implementar el frontend del login?,1,"""Maqueta HTML en Google Drive"", ""Documentación de frontend en Confluence"", ""Guía de documentación en documentación oficial""","login.html, guia-contribucion.md, funcionamiento_y_diseño_interfaz",,,TRUE,,
main_agent,¿Cuál es el procedimiento establecido para documentar cambios en el código? ¿Podrías proporcionar un ejemplo real de este proceso?,2,"""Mensajes de commit estructurados"", ""Referencias a issues"", ""Docstrings en código"", ""Documentación en Pull Requests"", ""Actualización de documentación existente"", ""Se incluye al menos un ejemplo de cualquiera de los métodos mencionados""",estandares-codigo.md,,,TRUE,,
main_agent,¿Dónde puedo encontrar la documentación técnica actualizada para las tecnologías o herramientas específicas que necesito utilizar?,0,"""En referencias-tecnicas.md hay enlaces a la documentación de las tecnologías utilizadas""",referencias-tecnicas.md,,,TRUE,,
main_agent,¿Qué recursos formativos están disponibles sobre las tecnologías utilizadas en el proyecto?,0,"""Documentación para tecnologías utilizadas"", ""Varias lecturas""","referencias-tecnicas.md, onboarding.md",,,TRUE,,
main_agent,¿Cuáles son todas las tecnologías frameworks y lenguajes utilizados en el proyecto? Podrías proporcionarme ejemplos en el código fuente de estos?,2,"""Python y Flask para backend"", ""Se incluye un ejemplo de python o flask"",  ""SQLAlchemy"",  ""PostgreSQL con pgvector para almacenamiento vectorial"", ""Se incluye un ejemplo de pgvector"", ""Langchain"", ""Se incluye un ejemplo de LangChain"", ""Docker para despliegue"", ""Se incluye un ejemplo de Docker""",README.md,,,TRUE,,
main_agent,¿Qué herramientas específicas se utilizan para gestionar las migraciones de esquemas de base de datos? ¿Podrías proporcionarme un ejemplo en el código?,2,"""Alembic para migraciones de base de datos"", ""Se incluye al menos un ejemplo de código fuente donde se utiliza alembic""",estandares-codigo.md,,,TRUE,,
